id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,2017-11-03,79,0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873,audio_features,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV,201000,4
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),2018-01-12,80,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-5,0.132,0.394,104.988,audio_features,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4
1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,2017-05-19,3,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-6,0.104,0.419,91.97,audio_features,spotify:track:1wjzFQodRWrPcQ0AnYnvQ9,https://api.spotify.com/v1/tracks/1wjzFQodRWrPcQ0AnYnvQ9,https://api.spotify.com/v1/audio-analysis/1wjzFQodRWrPcQ0AnYnvQ9,197437,4
1WP1r7fuvRqZRnUaTi2I1Q,Stitches,2015-04-13,0,0.746,0.754,1,-6.681,1,0.067,0.0152,0,0.0486,0.764,149.882,audio_features,spotify:track:1WP1r7fuvRqZRnUaTi2I1Q,https://api.spotify.com/v1/tracks/1WP1r7fuvRqZRnUaTi2I1Q,https://api.spotify.com/v1/audio-analysis/1WP1r7fuvRqZRnUaTi2I1Q,206880,4
1xznGGDReH1oQq0xzbwXa3,One Dance,2016-05-06,0,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,audio_features,spotify:track:1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3,173987,4
1ZeNNGi93weFVbOHdmTB6F,Beauty In The Madness,2022-03-11,65,0.441,0.59,5,-6.443,0,0.152,0.0435,0,0.215,0.532,196.067,audio_features,spotify:track:1ZeNNGi93weFVbOHdmTB6F,https://api.spotify.com/v1/tracks/1ZeNNGi93weFVbOHdmTB6F,https://api.spotify.com/v1/audio-analysis/1ZeNNGi93weFVbOHdmTB6F,223668,4
21jGcNKet2qwijlDFuPiPb,Circles,2019-09-06,85,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,spotify:track:21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,215280,4
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,2019-10-09,80,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,audio_features,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,https://api.spotify.com/v1/tracks/24Yi9hE78yPEbZ4kxyoXAI,https://api.spotify.com/v1/audio-analysis/24Yi9hE78yPEbZ4kxyoXAI,176840,4
25khomWgBVamSdKw7hzm3l,The Hills,2015-08-28,0,0.356,0.567,0,-7.011,0,0.0798,0.0861,0,0.137,0.109,135.553,audio_features,spotify:track:25khomWgBVamSdKw7hzm3l,https://api.spotify.com/v1/tracks/25khomWgBVamSdKw7hzm3l,https://api.spotify.com/v1/audio-analysis/25khomWgBVamSdKw7hzm3l,242253,5
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,2016-01-29,76,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,audio_features,spotify:track:27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,211667,4
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,2018-12-10,84,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,audio_features,spotify:track:285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,239836,4
2dpaYNEQHiRxtZbfNsse99,Happier,2018-08-17,82,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214290,4
2EiGECydkS2M8OCcRHQZhT,Take Me To Church,2014-11-06,0,0.456,0.67,7,-5.212,1,0.0574,0.588,0,0.116,0.405,128.632,audio_features,spotify:track:2EiGECydkS2M8OCcRHQZhT,https://api.spotify.com/v1/tracks/2EiGECydkS2M8OCcRHQZhT,https://api.spotify.com/v1/audio-analysis/2EiGECydkS2M8OCcRHQZhT,241688,4
